beta0,beta1,beta2,beta3,gamma0,gamma1,rho,lambda,sigma_e,sigma_u
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0
8.02512983604,6.69125615185,0.426733481546,2.28108949568,-0.119719502422,-5.27692466522,0.755,0.088,36.6244062453,4.39103307071
3.65739103384,6.15419812191,0.117555002377,2.03175329798,-1.29085545789,-3.7029526081,0.724,-0.24,1.25563243404,1.61959047765
-2.12300258202,6.15773912218,0.0233725499766,1.60098333582,5.11262377558,-3.82104133268,0.78,0.325,2.24043586725,8.32386249148
5.66845614114,5.95191578882,0.059239847124,1.8262694878,-4.15467402229,-3.52947661214,0.806,0.263,0.723541873181,1.35583239693
0.309617147741,6.00624278643,-0.104574059982,2.01150274168,0.482971600081,-3.48197692698,0.797,0.243,0.495183865133,1.14642943899
-12.1418383589,6.00198881217,-0.00887787129835,1.99229541295,13.3930122479,-3.44155223642,0.798,0.311,0.473870439136,1.91573456317
-1.48658446035,6.03422076705,-0.120094880029,1.98229640687,2.7430274667,-3.38690415752,0.795,0.499,0.54545465542,0.852417935522
5.96034596596,6.04442662182,-0.00330602551736,1.99289051678,-4.53872480918,-3.43198040308,0.803,0.613,0.570949768077,0.321729825938
7.0289033778,5.9840192175,-0.0495646449595,2.10245865745,-5.92679666386,-3.40738413747,0.8,0.361,0.474037269277,2.78542440597
9.43946135131,6.02823728641,-0.094080468586,1.93250586079,-8.19574815895,-3.41863376494,0.799,-0.456,0.660381742594,1.35961976039
1.90351304045,5.97737359337,-0.0539829838574,1.8105157942,-0.516420953097,-3.47038178168,0.797,0.788,0.482709167373,1.02605912877
5.7250389085,5.98517688892,-0.00518784089178,1.97171536067,-4.346259123,-3.57026966719,0.799,0.006,0.466070608355,1.93101194927
-5.07242933018,6.02154627053,-0.0898617433475,1.96563981548,6.39515200014,-3.52663334244,0.8,-0.623,0.467017831589,1.06414991862
-9.0894201521,5.9983154396,-0.0643770021332,1.92151695775,10.4910459005,-3.51097105111,0.802,-0.051,0.4847748651,0.697951179178
1.85492242809,6.02173957053,-0.0513289711753,2.07633365638,-0.402132971622,-3.47606839002,0.804,-0.312,0.480116135269,0.693122148694
4.21553946511,5.99466012954,-0.0120998021908,2.06114699932,-2.79563128298,-3.45376311608,0.799,-0.668,0.564032276486,1.1103539398
3.30618949867,5.98729391052,0.0368032098945,2.00203260867,-1.70554466912,-3.46620062895,0.803,0.248,0.561359889438,1.31493903404
2.43937854689,6.01146073926,-0.05611001033,1.92034428208,-0.904107740248,-3.41038845674,0.794,0.034,0.379951660551,0.335704499161
4.9101589786,6.05087205832,-0.00894983261675,2.00257704324,-3.26397103518,-3.48800239318,0.795,0.625,0.501563320494,0.896152693957
7.79099690609,5.99214498506,-0.0379050247624,1.90374699869,-6.11128195614,-3.43956719586,0.801,-0.163,0.445287721106,0.386264883721
-3.87068638381,5.98184134223,-0.0911180405162,1.93627922795,5.60887274112,-3.35843378031,0.799,-0.151,0.513386270012,0.492711583085
2.3196496703,6.00746374821,-0.0718750132751,1.95278378358,-0.498404445504,-3.38373181046,0.795,0.155,0.591504732192,0.24425442718
2.31004324161,6.03770083212,-0.119136744338,1.89664439385,-0.54793048566,-3.39336284023,0.797,0.304,0.44679019726,0.441638192007
9.83232581991,5.98392047065,-0.0214074294141,1.90598678294,-8.04167549377,-3.45978583368,0.803,-0.739,0.419063091857,1.26476366564
-0.953531428203,5.98368153405,-0.0965270413231,1.99715367296,2.62215228596,-3.57356533223,0.795,0.901,0.601046147339,3.66687595905
-3.69478325864,6.00910237945,-0.0349255406818,1.85147528906,5.39171032155,-3.55275141208,0.797,-0.216,0.450355456918,0.778797719998
2.36084680398,6.03060741283,-0.100708930285,1.88000302688,-0.549577516053,-3.55567970821,0.8,0.82,0.544096025017,0.978006876342
-1.71096414956,6.00325766678,-0.0720828688767,1.93344557744,3.53054246124,-3.46833185542,0.795,0.511,0.469289301009,0.548158911945
3.26929218069,6.03735628722,-0.059628400756,1.93469460252,-1.44253682088,-3.51279692307,0.809,-0.025,0.417911226186,2.02393869965
14.8129852836,6.00959377622,-0.0824228863513,2.11889193532,-13.3858151114,-3.5183317618,0.804,-0.006,0.457365976271,0.750556881318
-3.43540477458,5.99707880523,-0.100484451829,2.04566546245,5.01163454594,-3.49094581592,0.805,-0.741,0.509622634127,1.24822167848
