beta0,beta1,beta2,beta3,gamma0,gamma1,rho,lambda,sigma_e,sigma_u
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0
-10.1113188374,6.61098099024,0.371832077585,1.77384638632,17.777087847,-5.05012762167,0.747,-0.404,29.9530916454,4.00595428895
10.2115903176,6.26418820915,0.457787303891,1.51513459342,-7.12320172505,-4.06983396493,0.792,-0.244,3.89949969695,2.09353352464
2.14326002958,5.99345236434,0.037536199945,1.73236468306,-0.0714685372269,-4.11195899758,0.784,0.287,0.915364354063,0.4219517208
-0.435313180551,5.99666089354,0.0223322294984,1.8361025238,2.55123200078,-4.16592301129,0.797,-0.098,0.636780895236,1.46020011639
1.19958713068,5.96811826269,-0.0712819081468,1.91555176661,0.56745110116,-4.22863294345,0.8,0.04,0.542819904845,0.685691271631
6.95797589601,6.03323353327,-0.0257980413706,1.92394748333,-5.28647486964,-4.30377591195,0.801,0.095,0.511477668449,2.06452734805
2.53542093205,6.00258174075,-0.127745367143,2.08283456724,-0.892528950662,-4.22707064965,0.796,-0.549,0.421620223238,0.251221289747
-12.5391421374,6.07096120284,-0.074317295041,2.16393666145,14.278478142,-4.32974581372,0.805,-0.007,0.612504074596,1.29875093082
2.26309119958,6.00814763175,-0.0203901327426,2.12713930884,-0.532174303363,-4.20123904028,0.797,-0.183,0.472977617949,2.06005965395
-2.78251662968,5.99944476426,-0.047233288132,2.0628118407,4.56914986734,-4.15894443847,0.802,0.021,0.531345383036,0.503381439436
6.33053432523,6.00834274731,0.0062376154836,1.95087074346,-4.68505212483,-4.1360820523,0.8,-0.006,0.585110788753,0.536002093203
13.8072756642,5.99199718945,0.0101207400533,1.99160984487,-12.2134828175,-4.21364925119,0.786,0.451,0.501036547186,1.70030358827
-5.26828995596,6.02895960075,-0.101407933664,1.92747573533,7.07864464874,-4.3195628155,0.799,0.433,0.617154292538,0.555407224243
-14.7551732268,6.01250949331,-0.0156303233847,1.98182974127,16.2607806878,-4.27594433061,0.802,-0.163,0.524143922096,0.193622258044
-2.70547935934,5.99674198417,0.00150534124419,2.04235528169,4.23200367293,-4.23699386316,0.803,0.45,0.512445582304,0.25685149921
3.9894146215,5.99156059109,-0.0201316474984,1.96448304572,-2.4689376012,-4.17261401407,0.798,-0.53,0.493522820748,0.276591275048
-11.98212912,6.03554040735,-0.0494437293711,1.82881281171,13.5871200812,-4.19058495395,0.801,-0.556,0.472398087898,0.347686245994
4.78642179655,6.00638402607,-0.0417016915489,1.90561033051,-3.14005225294,-4.20333338252,0.803,-0.704,0.405209076058,1.42893230913
6.73515341018,5.97246890132,-0.0259302045087,1.99249758926,-5.17019225751,-4.16314311978,0.804,0.027,0.481938221524,0.273138170249
3.60202993853,5.99531729412,-0.0278065803524,1.90851656801,-2.12808728233,-4.04966285247,0.804,0.322,0.506210037066,0.147684822742
4.95979893893,5.99795265238,-0.0108295665088,2.07967279381,-3.39553500353,-4.06628739841,0.803,0.3,0.392346112076,0.472258322894
2.80340737681,5.98154471532,-0.0230743095208,1.86977941064,-1.16392954664,-4.07435482252,0.798,0.214,0.436063752085,0.299741087569
-4.54252400852,5.98653834382,-0.0608118200632,1.93431293392,6.37722865889,-4.13466940539,0.796,0.588,0.48212947723,0.247339494864
-0.0767691660585,6.02989563697,-0.0271312763596,2.09262211459,2.04670328372,-4.1708723813,0.791,-0.004,0.582310085126,0.264928820294
5.40633291714,6.02177302225,-0.0661077127256,1.98778357249,-3.66355104471,-4.27095545465,0.793,0.397,0.549553245613,0.413685721653
10.7345451428,6.0293175949,-0.10189955478,1.91424357525,-8.94708711845,-4.12703669852,0.802,-0.518,0.350826294333,1.38122161734
3.77393015695,5.96591504491,-0.0962255975399,1.96089769781,-2.15038016799,-4.08309698847,0.796,0.221,0.445027029331,0.520848814811
4.955308666,6.03930006735,-0.0872242496267,2.0689457369,-3.33373306043,-4.08856077783,0.799,-0.043,0.502388280305,0.296042270051
12.0938439619,6.01955344592,-0.146880356032,1.9016613835,-10.5833968808,-4.10055307255,0.797,0.368,0.556782906119,0.172273884623
4.58341822638,6.00566460715,-0.0752587313613,2.14936327494,-3.04417781723,-4.13789597157,0.799,0.337,0.450241282743,0.14471339025
7.2193554654,6.02364637955,-0.0449209408278,1.84663970189,-5.74046015104,-4.13845475411,0.798,0.039,0.339395077087,0.274291684081
-2.94194849095,6.0072177397,-0.0897815086538,1.93594598592,4.44835352954,-4.13361475912,0.796,-0.222,0.422355742378,1.35970330391
-3.09165338772,6.0250576352,0.0436241319027,1.97812411507,4.56734080991,-4.13566788753,0.799,0.114,0.392506393488,0.364535423663
-3.19221454995,6.06485267184,-0.0577848884437,1.95481575313,4.58475799644,-4.18605571691,0.8,0.292,0.535953404798,0.275595900797
8.66512410636,6.01987859023,-0.0544707091635,2.05186728546,-7.3830519364,-4.10376308466,0.796,0.35,0.492902094231,0.778922484818
1.1274476751,6.02099297457,-0.0523819038362,1.91213670834,0.0868407542179,-4.05340359668,0.8,0.274,0.444276569512,0.446832276311
2.59810993024,6.02669110293,0.00909238163929,2.09298379812,-1.50591679944,-4.10048111108,0.805,0.529,0.50321865255,0.529450386782
-9.70694118979,5.98407304369,-0.0386573907992,1.82918071896,10.7260945321,-4.08983216071,0.804,0.501,0.390561582815,1.18607686031
2.27544913979,6.00761006777,-0.0791550403327,1.95308053326,-1.37691117976,-4.09865371752,0.798,0.133,0.494077317923,0.523610263943
3.39555004467,6.04480925452,-0.0496807159642,1.98842047854,-2.42383027239,-4.14114648843,0.795,0.603,0.479678090912,2.71627378959
3.54021778062,6.02455639902,0.00599707872152,1.98249237574,-2.40926660857,-4.06854980601,0.793,-0.513,0.439838102098,1.50155556953
1.62252757772,6.04023194272,-0.0273784805879,1.89696641821,-0.479077225974,-4.04278844607,0.801,0.899,0.482329848584,1.18333378972
1.92858682542,6.01168496562,-0.106663134335,1.8471592509,-0.801280897194,-3.99148395663,0.799,-0.034,0.52984086055,0.311703168474
6.70516236556,6.00521265305,-0.104870507009,2.07963674027,-5.39164054983,-3.99880365242,0.799,0.8,0.424725659563,0.376010063964
7.20132560856,6.0185068304,0.0268275903123,1.96841485257,-5.66977506145,-3.97637390499,0.803,0.564,0.56194572184,0.501820224285
-1.53403587703,6.03531924659,-0.00313481574476,1.95621998864,2.98075467694,-3.94501953493,0.794,-0.419,0.432808144757,1.88595408691
-5.42892092096,5.99293838869,-0.00933444886599,1.98008686329,7.02732355727,-3.9891663815,0.798,-0.173,0.432584071114,0.394839627066
0.0132606486396,6.03606310485,-0.0676852900807,2.03810964237,1.49993153501,-3.9978978841,0.801,0.149,0.592365171664,1.1311769761
10.5962332521,6.00285579223,-0.0304395018705,2.0656638096,-9.09962709468,-4.05396939186,0.806,-0.651,0.388954877789,6.75745035084
0.822162531631,5.97700647473,-0.101548452692,1.95036119225,0.524809252533,-3.99118869399,0.796,-0.754,0.506363080225,5.09236755837
6.14765996363,5.99710106736,-0.0234474567329,2.09210278134,-4.51311542824,-4.00241066234,0.799,0.577,0.582571348459,5.31598903648
7.18834895465,5.96335509522,0.0597634511107,2.00709930353,-5.58952516251,-4.08991700449,0.799,-0.451,0.45655897774,1.83176895143
1.74218012771,6.00045230205,-0.0136518689378,1.99267756112,-0.0761195417959,-4.08999375622,0.799,0.023,0.525256479886,0.374553075484
12.9422051443,6.0192078044,-0.0541263385165,1.91869166895,-11.2193508482,-4.03130807146,0.801,-0.014,0.508303855978,1.72308827386
-9.29773159691,5.9955440604,-0.122004439611,2.06116021157,10.8557861784,-4.10286348794,0.795,-0.809,0.603713492002,0.102269869417
-1.0353662916,6.00353060111,-0.0252008786529,1.94890984341,2.88982687966,-4.08186252615,0.802,-0.075,0.432069849887,0.193036089252
-8.98630057484,6.02281543393,-0.0329408240874,1.94298721929,10.8466575842,-3.96560766667,0.8,-0.365,0.444252831894,0.0945197314804
-1.63433788409,6.06857903909,-0.0544420253417,2.09121334775,3.4839932488,-3.93956362265,0.805,-0.156,0.494714245606,0.0895973913258
-9.09178249032,5.96714189202,-0.0593476990441,1.89028017205,10.9146697035,-3.82157155564,0.8,-0.621,0.414879052033,0.0656394800306
-7.29015621071,6.03989254555,-0.0448720465946,1.90180723634,9.24306353301,-3.83646228445,0.801,0.429,0.470825584824,0.20387095988
