beta0,beta1,beta2,beta3,gamma0,gamma1,rho,lambda,sigma_e,sigma_u
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0
6.13726778688,7.02977391273,-0.838534353814,2.02112235491,-7.09772080525,-2.62777348304,-0.545,-0.652,143.458035594,1.90077088111
-3.52062972224,6.28093559462,-0.755295693385,1.44528047434,6.49139059725,-3.73857978175,-0.45,-0.627,3.43525497172,0.882713930089
2.97924873205,6.17663165218,-0.318461148867,1.66510583544,-0.732240568461,-3.55856119846,-0.553,0.427,3.15208637255,4.63547607051
-11.880299051,6.13289539454,-0.0985146066786,1.79310357717,14.1532701291,-3.52797797503,-0.556,0.179,1.0791030392,0.388256054017
-5.47522704702,6.02530486989,0.0619199231856,1.99866217035,7.76117031738,-3.69386644264,-0.579,0.764,0.721471479859,0.0761414863468
0.60654680357,5.99598344905,-0.0919577588892,1.99174046812,1.67786861573,-3.81652794825,-0.598,0.963,0.453975549553,0.252913810391
-7.49296798398,6.01983254475,-0.0365813715901,1.93291899756,9.77419720203,-3.97375470731,-0.596,0.694,0.418222195891,0.225087073762
-3.60263923641,6.04260244263,-0.0114153569443,1.90810839786,5.88468366173,-3.90261575366,-0.592,0.497,0.531572796711,0.103405582875
-8.04917933593,5.97299772073,-0.0419665647602,2.06393550619,10.2775858889,-3.93214044239,-0.599,0.607,0.512065784066,0.064805165804
0.954634934791,6.02312379278,-0.00628444919499,2.10169866662,1.29121433304,-3.87559688089,-0.605,0.534,0.35588672118,0.163801769001
0.0518661649136,5.9944711447,-0.0544538899065,2.06886925585,2.33996830465,-3.86763494525,-0.609,0.479,0.642366136066,1.06072141631
9.33015702118,5.99232070191,-0.033506538816,2.06144884969,-6.79337172084,-3.91576945834,-0.597,0.394,0.50233254761,1.0935915742
-5.24291564434,5.99552302628,-0.123859815384,1.88456464705,7.87968194072,-3.90918199083,-0.586,0.512,0.533927348483,0.629561814609
0.484032667875,6.08031210165,-0.0859822651503,1.86378411399,1.95702697031,-3.92857595183,-0.602,0.542,0.535266976488,0.160682722869
-4.85493909696,6.04613739298,-0.0499325787484,2.19364673376,7.433258762,-3.92766834494,-0.592,0.677,0.518255753614,0.150322786948
-1.7609989469,6.03256915789,0.0180720873715,1.95443412301,4.47442870885,-3.92576896489,-0.604,0.773,0.47176433051,0.193585923027
-16.0365632095,6.02833183552,-0.0295964107349,2.11849972482,18.6191078476,-3.91225343088,-0.584,0.544,0.515734867873,0.237672864772
-6.10777560867,6.0428372218,-0.0125895630363,1.962519945,8.81368647494,-3.89099586587,-0.591,0.548,0.59763366864,0.135260813091
2.5929095203,6.02454075052,-0.0982366430578,2.06070876458,0.0194278955337,-3.87078438951,-0.594,0.461,0.442226402699,0.577402535036
9.98502338295,5.99533044641,-0.0399021454824,2.10714373967,-7.59337852497,-3.87208193457,-0.592,0.567,0.455865603016,0.148527901974
-9.59352107104,6.02690447885,-0.0751529743545,2.08662758502,11.971037541,-3.94712354405,-0.604,0.765,0.431923862375,0.609342950284
-4.59680283312,5.99066679306,-0.00692096534673,1.90423120511,6.93043731329,-3.90343404216,-0.587,0.541,0.486390514071,0.326329597609
-5.80688964663,6.01282003015,-0.0711021408047,1.92224794794,8.10247804613,-3.81939700505,-0.589,0.351,0.434502693871,0.143990424685
3.63365224482,6.01495176848,-0.0927622836968,1.85831896063,-1.32441751806,-3.74095835555,-0.578,0.706,0.340162760792,0.72874781125
-1.51723918337,6.04430869909,-0.0519954283326,1.92083810418,3.74338723353,-3.71677138521,-0.591,-0.464,0.497877383783,0.132371715745
-5.93314349024,6.03068407458,-0.048005424022,1.87415095486,8.25876169508,-3.74132563006,-0.589,0.333,0.471715309337,0.439189790841
-10.9840101496,6.00609125003,-0.0534524001033,1.97215257611,13.1946997865,-3.83475559213,-0.603,0.218,0.435038433008,0.136442309836
-9.27832996223,5.98790778982,-0.0942154880116,1.92810263495,11.4722931271,-3.86158244858,-0.594,-0.456,0.542288056018,0.126598004201
-11.1536426901,6.0053783201,-0.0841743494067,2.13492341577,13.2204881829,-3.91685105858,-0.599,0.33,0.529062045329,0.0417544534664
6.14492205438,6.0331241392,0.0486404706845,1.98272265092,-4.07240178754,-3.85808329171,-0.586,0.123,0.54522943201,0.0449106731389
-7.47763996623,6.0598001588,-0.0215992250966,2.0620126716,9.39074198779,-3.86752087074,-0.594,-0.443,0.502366074652,0.106593344501
2.07471047708,6.06937226808,-0.0351057961208,2.02550006339,-0.158692335698,-3.93769138371,-0.598,0.038,0.413426217814,0.117177833399
5.00751960412,5.99076727504,-0.0776505792103,2.11631490875,-3.14145207745,-3.95538935891,-0.591,0.561,0.664935936337,0.112651645128
-8.64565438764,6.05328452699,-0.0580763486983,1.98619671835,10.3234714657,-3.95577576645,-0.595,0.109,0.446588914451,0.221185235132
-0.0736240017871,6.00155920972,-0.0475377628735,1.89318068206,1.85908135909,-3.95076351618,-0.593,0.458,0.378230358439,0.0613098984053
9.14939728979,6.01424254782,-0.0309997972007,1.94897448077,-7.50498535704,-4.02138390064,-0.599,0.078,0.494456713518,0.162938446593
-10.3860057316,6.01748617335,-0.0390656918667,1.95073402431,12.214682537,-4.01445263716,-0.589,-0.045,0.5460549337,0.195096944673
4.75016154366,5.95801161973,0.000944103741656,2.02484137491,-2.71095386577,-3.99730493535,-0.585,-0.466,0.604591287176,0.0412041203383
2.9019887948,6.0564767689,0.0234112467884,2.04710047093,-0.996131298635,-3.94230758619,-0.588,0.254,0.527041454866,0.0547424484099
0.73818156561,6.00944666078,-0.0767817004549,1.98900289821,1.08723320745,-3.89556156483,-0.593,-0.402,0.53219942199,0.348600565765
-0.741192841376,6.02163768337,-0.0289371479478,1.82898820753,2.5525017713,-3.91711758676,-0.592,-0.587,0.469225316178,0.140287572789
-13.6629238569,6.02617955297,-0.0641146654885,2.02197546372,15.6078382743,-3.90808259355,-0.589,0.146,0.373029406358,0.871324132566
1.46827106348,6.03739288517,-0.0646538918632,2.01790724863,0.517440170326,-3.80776851049,-0.596,-0.612,0.447973813123,0.125784035632
10.7700227136,5.99825034618,-0.0182807630302,1.91027611554,-8.80624476686,-3.83523807713,-0.591,-0.59,0.463869208893,0.0576080094082
-5.81217334943,6.01079923167,-0.0725367449507,2.01169146548,7.62214807972,-3.88767682133,-0.594,-0.435,0.442348417666,0.0283438066523
