beta0,beta1,beta2,beta3,gamma0,gamma1,rho,lambda,sigma_e,sigma_u
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0
6.15036083466,7.03130510216,-0.839201871949,2.01308481342,-7.08462775747,-2.62609934342,-0.545,-0.649,143.461277002,1.87942957444
-3.48116004328,6.28196525139,-0.759324760236,1.43474636318,6.5308602762,-3.73471709112,-0.449,-0.6,3.51515297674,0.861544460338
3.01375490576,6.17819917855,-0.321299403116,1.65994516279,-0.697734394748,-3.55452221463,-0.549,0.345,3.20414774464,4.12565776659
-11.85595018,6.15087819871,-0.0923238993373,1.82596475346,14.1776190001,-3.61285293587,-0.564,0.195,1.12290030654,0.726672170289
-5.41063151373,5.98029470671,0.0437615128667,1.89999860955,7.82576585066,-3.5252832469,-0.579,0.704,0.668314868688,0.166128871875
0.660955191726,5.99210623914,-0.0953208309944,1.97555400049,1.73227700389,-3.64416357086,-0.595,0.925,0.459001407115,0.676108789573
-7.43949937386,6.03247235861,-0.0299228740811,1.96361691935,9.82766581213,-3.68709520025,-0.596,0.566,0.415328252189,0.809982436505
-3.54555220374,6.04560449416,-0.00849043592013,1.91872641148,5.94177069441,-3.64506296971,-0.592,0.241,0.533201930294,0.332340404548
-7.99104214587,5.97201324163,-0.0413245177798,2.06519681081,10.3357230789,-3.67876751364,-0.599,0.311,0.505073174247,0.207225853129
1.01262761408,6.02135659183,-0.00567247573345,2.10229437006,1.34920701234,-3.68361499893,-0.605,0.427,0.37471830179,0.293339137222
0.11038036501,5.99384045015,-0.06554828136,2.04108385158,2.39848250474,-3.70349115356,-0.611,0.279,0.633937203083,2.78714731543
9.39723493929,5.98129224217,-0.0387382295648,2.03645478568,-6.72629380275,-3.70704784889,-0.597,0.209,0.509106055886,2.18255737316
-5.18188950249,5.99682858725,-0.123233984655,1.88793642169,7.94070808254,-3.7208065577,-0.589,0.413,0.531139391712,1.66765432623
0.554911753009,6.06740747759,-0.0909278970642,1.83732198796,2.02790605545,-3.67642482298,-0.601,0.416,0.529315118757,0.314123510267
-4.79247145478,6.04892508626,-0.049008423251,2.19841503886,7.49572640419,-3.70290834321,-0.591,0.679,0.545796563588,0.181613602038
-1.69409777367,6.03644435683,0.00335903449245,1.91143602316,4.54132988208,-3.68158789041,-0.603,0.793,0.507981577032,0.152820868031
-15.9809696194,6.03433189193,-0.0409850832401,2.09552055528,18.6747014377,-3.83368445306,-0.586,0.592,0.523959986339,0.36335123333
-6.04805484383,6.03121280516,-0.0255957006405,1.91461946217,8.8734072398,-3.8788367702,-0.591,0.428,0.587690594807,0.20883300076
2.65126311978,6.02309830204,-0.0996598826368,2.05410679725,0.0777814949881,-3.85986544702,-0.594,0.236,0.435810097004,1.20295069655
10.0358426712,5.99456401024,-0.0336190746969,2.12331257235,-7.54255923669,-3.98617058802,-0.594,0.437,0.458284280348,0.324190646492
-9.53578039561,6.01731594049,-0.0788695310221,2.06754342823,12.0287782164,-4.0080757386,-0.606,0.611,0.422274348427,1.89822998595
-4.53734773097,5.9792358165,-0.0108832801255,1.88482403053,6.98989241544,-3.97087868199,-0.588,0.444,0.493536173329,0.715808829514
-5.75062078495,6.01045165157,-0.0710821733511,1.91906880618,8.15874690783,-3.8870311938,-0.589,0.165,0.436249346711,0.196881840317
3.68964527425,6.01415122956,-0.0933738282152,1.85603518525,-1.2684244886,-3.80195823887,-0.578,0.648,0.349571202081,0.717097358344
